source,id,title,company,location,description,url,salary_min,salary_max,date_posted
Adzuna,5482510436,HR Generalist,"Mclane Company, Inc.","Heidenheimer, Bell County","Take your career further with McLane! McLane teammates, the driving force behind our success, are diverse professionals who work together seamlessly to keep our operations running smoothly. As a teammate, you will pair your dedication, expertise, and collaborative spirit with your fellow teammates to serve America's most beloved brands. McLane leaders think long-term, act with purpose, and inspire high performance. They lead with accountability, communicate clearly, and drive results through co…",https://www.adzuna.com/land/ad/5482510436?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=5760BCF659E6179F80EB958A0E97520B34E271F2,92512.99,92512.99,2025-11-05T12:54:32Z
Adzuna,5465076037,HR Generalist,"Mclane Company, Inc.","Nicholasville, Jessamine County","Take your career further with McLane! McLane teammates, the driving force behind our success, are diverse professionals who work together seamlessly to keep our operations running smoothly. As a teammate, you will pair your dedication, expertise, and collaborative spirit with your fellow teammates to serve America's most beloved brands. McLane leaders think long-term, act with purpose, and inspire high performance. They lead with accountability, communicate clearly, and drive results through co…",https://www.adzuna.com/land/ad/5465076037?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=E0671E4F587C1EB8CBBBA80EBCA0A286692D54DD,61818.95,61818.95,2025-10-26T07:02:32Z
Adzuna,5438723876,HR Business Partner,Refresco,"Waitsburg, Walla Walla County","Make a Difference in YOUR Career! Our vision is both simple and ambitious: to put our drinks on every table. We are the leading global independent beverage solutions provider. We serve a broad range of national and international retailers as well as Global, National and Emerging (GNE) brands. Our products are distributed worldwide from our production sites in Europe, North America, and Australia. Although our own branding may not appear on the labels of the beverages we produce, there is a good…",https://www.adzuna.com/land/ad/5438723876?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=B1E6D7B52F36208C7F3A6D29E2D931B9495D6D54,68511.51,68511.51,2025-10-09T06:03:32Z
Adzuna,5438723873,HR Business Partner,Refresco,"Milton Freewater, Umatilla County","Make a Difference in YOUR Career! Our vision is both simple and ambitious: to put our drinks on every table. We are the leading global independent beverage solutions provider. We serve a broad range of national and international retailers as well as Global, National and Emerging (GNE) brands. Our products are distributed worldwide from our production sites in Europe, North America, and Australia. Although our own branding may not appear on the labels of the beverages we produce, there is a good…",https://www.adzuna.com/land/ad/5438723873?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=BB5782A1B3FB33E18EA58C1D4CE2BA048184E283,74892.23,74892.23,2025-10-09T06:03:32Z
Adzuna,5438723872,HR Business Partner,Refresco,"College Place, Walla Walla County","Make a Difference in YOUR Career! Our vision is both simple and ambitious: to put our drinks on every table. We are the leading global independent beverage solutions provider. We serve a broad range of national and international retailers as well as Global, National and Emerging (GNE) brands. Our products are distributed worldwide from our production sites in Europe, North America, and Australia. Although our own branding may not appear on the labels of the beverages we produce, there is a good…",https://www.adzuna.com/land/ad/5438723872?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=F2DAA7645F3880CB2BB996C2054950F577B1E846,75363.81,75363.81,2025-10-09T06:03:32Z
Adzuna,5447626583,HR Business Partner,Refresco,"Wallula, Walla Walla County","Make a Difference in YOUR Career! Our vision is both simple and ambitious: to put our drinks on every table. We are the leading global independent beverage solutions provider. We serve a broad range of national and international retailers as well as Global, National and Emerging (GNE) brands. Our products are distributed worldwide from our production sites in Europe, North America, and Australia. Although our own branding may not appear on the labels of the beverages we produce, there is a good…",https://www.adzuna.com/land/ad/5447626583?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=BAE36A1ACDE3B3E2D81A33DA49498C9FFD771255,68519.68,68519.68,2025-10-14T18:31:56Z
Adzuna,5447626585,HR Business Partner,Refresco,"Touchet, Walla Walla County","Make a Difference in YOUR Career! Our vision is both simple and ambitious: to put our drinks on every table. We are the leading global independent beverage solutions provider. We serve a broad range of national and international retailers as well as Global, National and Emerging (GNE) brands. Our products are distributed worldwide from our production sites in Europe, North America, and Australia. Although our own branding may not appear on the labels of the beverages we produce, there is a good…",https://www.adzuna.com/land/ad/5447626585?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=2D1A7C038FBE9625B77558687903CA7174B0F1F6,70858.34,70858.34,2025-10-14T18:31:56Z
Adzuna,5447626588,HR Business Partner,Refresco,"Weston, Umatilla County","Make a Difference in YOUR Career! Our vision is both simple and ambitious: to put our drinks on every table. We are the leading global independent beverage solutions provider. We serve a broad range of national and international retailers as well as Global, National and Emerging (GNE) brands. Our products are distributed worldwide from our production sites in Europe, North America, and Australia. Although our own branding may not appear on the labels of the beverages we produce, there is a good…",https://www.adzuna.com/land/ad/5447626588?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=B7833DF1D0AA2CB82C3101A972268817C014A3EB,58772.21,58772.21,2025-10-14T18:31:56Z
Adzuna,5438723877,HR Business Partner,Refresco,"Walla Walla, Walla Walla County","Make a Difference in YOUR Career! Our vision is both simple and ambitious: to put our drinks on every table. We are the leading global independent beverage solutions provider. We serve a broad range of national and international retailers as well as Global, National and Emerging (GNE) brands. Our products are distributed worldwide from our production sites in Europe, North America, and Australia. Although our own branding may not appear on the labels of the beverages we produce, there is a good…",https://www.adzuna.com/land/ad/5438723877?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=BB34EFF84359B8F07F2C9E3B4D3D0F1A61D07810,72540.15,72540.15,2025-10-09T06:03:32Z
Adzuna,5447626586,HR Business Partner,Refresco,"Cayuse, Umatilla County","Make a Difference in YOUR Career! Our vision is both simple and ambitious: to put our drinks on every table. We are the leading global independent beverage solutions provider. We serve a broad range of national and international retailers as well as Global, National and Emerging (GNE) brands. Our products are distributed worldwide from our production sites in Europe, North America, and Australia. Although our own branding may not appear on the labels of the beverages we produce, there is a good…",https://www.adzuna.com/land/ad/5447626586?se=Xr5Y9n2_8BGreY86y0VZDg&utm_medium=api&utm_source=10a8906f&v=3E3267DB74B7ED7ED99F7704F267EE7CFB8F2CF7,60096.33,60096.33,2025-10-14T18:31:56Z
