source,id,title,company,location,description,url,salary_min,salary_max,date_posted
USAJOBS,req2392,Green & Gold Congressional Aide,House of Representatives,"Washington, District of Columbia","This position is limited to Veterans, Gold Star family members and Active-duty spouses desiring to serve a two-year paid Congressional Fellowship as part of the House of Representatives. Selected Fellows will work directly for a Member of Congress or other House officer as part of an office team.",https://www.usajobs.gov:443/job/803545200,54000,66000,2025-09-09T00:00:00.0000
USAJOBS,req2437,Green & Gold Congressional Aide,House of Representatives,"Kirkland, Washington","This position is limited to Veterans, Gold Star family members and Active-duty spouses desiring to serve a two-year paid Congressional Fellowship as part of the House of Representatives. Selected Fellows will work directly for a Member of Congress or other House officer as part of an office team.",https://www.usajobs.gov:443/job/804839500,54000,66000,2025-06-27T00:00:00.0000
USAJOBS,AK-12630357-AR-25-040-B,MATERIALS EXAMINER AND IDENTIFIER,Army National Guard Units,"Fort Richardson, Alaska","Opened Area(s) of Consideration: 1, 2 DEFINITION OF AREA(S) OF CONSIDERATION: Area 1 - AKNG Permanent or Indefinite technicians. Area 2 - All AKNG members. PDCN: D0780000 Selecting Supervisor: Christopher Utkin",https://www.usajobs.gov:443/job/822186900,32.11,37.45,2024-12-04T12:43:49.7600
USAJOBS,AK-12635699-AR-25-045-B,TOOLS AND PARTS ATTENDANT,Army National Guard Units,"Fort Richardson, Alaska","Opened Area(s) of Consideration: 1, 2 DEFINITION OF AREA(S) OF CONSIDERATION: Area 1 - AKNG Permanent or Indefinite technicians. Area 2 - All AKNG members. PDCN: D1228000 Selecting Supervisor: Christopher Utkin",https://www.usajobs.gov:443/job/822809800,29.9,34.85,2024-12-06T18:19:49.6830
USAJOBS,MO-12648849-AR-24-476,SUPPLY TECHNICIAN (TITLE 32),Army National Guard Units,"Hannibal, Missouri","This a National Guard Title 32 Excepted Service Position. This National Guard position is a Temporary NTE one year GS-2005-04/05/06 SUPPLY TECHNICIAN (TITLE 32), Position Description Number D1098000 and is part of the MO Det 1 3175th Military Police Company. This is a bargaining position. SEE NOTES UNDER CONDITIONS OF EMPLOYMENT BELOW.",https://www.usajobs.gov:443/job/825270300,35373,57354,2024-12-19T00:00:00.0000
USAJOBS,JDP-12649029-25-KJ,Investigative Analyst (Criminal Analyst),Department of Homeland Security - Agency Wide,"Scottsdale, Arizona, Tucson, Arizona","1-year non-reimbursable assignment Homeland Security Investigations (HSI) Investigative Analyst (Criminal Analyst) Series Requested: 0132,1801,1802,1805 Top Secret - SCI Detail can be extended for up to 3-years with mutual agreement on an annual basis Must live in the Scottsdale or Tucson, AZ area Only current, full-time federal employees are eligible. Resumes are reviewed every 30 days until selection/closing date. This is a Detail Supervisory approval form must be signed.",https://www.usajobs.gov:443/job/828681600,97376,150535,2024-12-17T00:00:00.0000
USAJOBS,FFR25-0056A,Club Operations Assistant (Duty Manager),"Commander, Navy Installations","Okinawa Island, Japan","This position is located in the Club Division, Morale, Welfare and Recreation Department (MWR), Fleet Activities, Okinawa, Japan. The incumbent performs a wide variety of work assignments during various shifts in support of club operations.",https://www.usajobs.gov:443/job/828876900,17.25,17.25,2025-10-30T00:00:00.0000
USAJOBS,AK-12676290-AF-25-064-B,NONDESTRUCTIVE TESTER,Air National Guard Units,"Eielson AFB, Alaska","Opened Area(s) of Consideration: 1, 2, 3 DEFINITION OF AREA(S) OF CONSIDERATION: Area 1 - AKNG Permanent or Indefinite technicians. Area 2 - All AKNG members. Area 3 - All other current military members who are eligible to join the Alaska Air National Guard. PDCN: D2319000 MPCN: 3400860599 Selecting Supervisor: Dusty L. Spencer",https://www.usajobs.gov:443/job/829219200,42.75,49.81,2025-01-23T00:00:00.0000
USAJOBS,FFR25-0108D,Recreation Assistant-Lifeguard,"Commander, Navy Installations","Sasebo Naval Base, Japan","This position is assigned to the Non-Appropriated Fund (NAF) Fitness, Sports, and Aquatics; Fleet Readiness; Commander, Navy Installations Command (CNIC); Commander Fleet Activities Sasebo. Incumbent provides lifeguard duties; is responsible for safeguarding the lives of persons at the assigned work area; assists with Aquatic training, education, and general support at the installation.",https://www.usajobs.gov:443/job/829489600,17.25,17.25,2025-11-10T00:00:00.0000
USAJOBS,req3431,Green & Gold Congressional Aide,House of Representatives,"New Orleans, Louisiana","This position is limited to Veterans, Gold Star family members and Active-duty spouses desiring to serve a two-year paid Congressional Fellowship as part of the House of Representatives. Selected Fellows will work directly for a Member of Congress or other House officer as part of an office team.",https://www.usajobs.gov:443/job/829540900,54000,66000,2025-06-27T00:00:00.0000
